YEAR,MH1,AGE,COUNT
2016,Trauma/stress-related,0-11,27820
2016,Trauma/stress-related,12-14,10540
2016,Trauma/stress-related,15-17,9230
2016,Trauma/stress-related,18-20,4061
2016,Trauma/stress-related,21-24,3994
2016,Trauma/stress-related,25-29,5700
2016,Trauma/stress-related,30-34,5452
2016,Trauma/stress-related,35-39,4566
2016,Trauma/stress-related,40-44,4030
2016,Trauma/stress-related,45-49,4137
2016,Trauma/stress-related,50-54,3787
2016,Trauma/stress-related,55-59,2701
2016,Trauma/stress-related,60-64,1443
2016,Trauma/stress-related,65+,1236
2016,Anxiety,0-11,6399
2016,Anxiety,12-14,4237
2016,Anxiety,15-17,4790
2016,Anxiety,18-20,2956
2016,Anxiety,21-24,3240
2016,Anxiety,25-29,5325
2016,Anxiety,30-34,5489
2016,Anxiety,35-39,4498
2016,Anxiety,40-44,3797
2016,Anxiety,45-49,3867
2016,Anxiety,50-54,3907
2016,Anxiety,55-59,3035
2016,Anxiety,60-64,1949
2016,Anxiety,65+,1832
2016,ADHD,0-11,37749
2016,ADHD,12-14,13954
2016,ADHD,15-17,9121
2016,ADHD,18-20,3665
2016,ADHD,21-24,1624
2016,ADHD,25-29,1406
2016,ADHD,30-34,1091
2016,ADHD,35-39,688
2016,ADHD,40-44,485
2016,ADHD,45-49,367
2016,ADHD,50-54,329
2016,ADHD,55-59,199
2016,ADHD,60-64,105
2016,ADHD,65+,38
2016,Conduct,0-11,8969
2016,Conduct,12-14,1896
2016,Conduct,15-17,2424
2016,Conduct,18-20,651
2016,Conduct,21-24,119
2016,Conduct,25-29,99
2016,Conduct,30-34,53
2016,Conduct,35-39,53
2016,Conduct,40-44,33
2016,Conduct,45-49,28
2016,Conduct,50-54,33
2016,Conduct,55-59,19
2016,Conduct,60-64,10
2016,Conduct,65+,17
2016,Delirium/dementia,0-11,87
2016,Delirium/dementia,12-14,37
2016,Delirium/dementia,15-17,54
2016,Delirium/dementia,18-20,48
2016,Delirium/dementia,21-24,66
2016,Delirium/dementia,25-29,95
2016,Delirium/dementia,30-34,101
2016,Delirium/dementia,35-39,121
2016,Delirium/dementia,40-44,150
2016,Delirium/dementia,45-49,177
2016,Delirium/dementia,50-54,290
2016,Delirium/dementia,55-59,379
2016,Delirium/dementia,60-64,356
2016,Delirium/dementia,65+,1923
2016,Bipolar,0-11,3599
2016,Bipolar,12-14,3921
2016,Bipolar,15-17,5861
2016,Bipolar,18-20,4806
2016,Bipolar,21-24,6539
2016,Bipolar,25-29,10482
2016,Bipolar,30-34,10641
2016,Bipolar,35-39,9852
2016,Bipolar,40-44,9209
2016,Bipolar,45-49,10245
2016,Bipolar,50-54,9985
2016,Bipolar,55-59,7237
2016,Bipolar,60-64,4043
2016,Bipolar,65+,3262
2016,Depressive,0-11,2674
2016,Depressive,12-14,6984
2016,Depressive,15-17,11856
2016,Depressive,18-20,7467
2016,Depressive,21-24,8933
2016,Depressive,25-29,13856
2016,Depressive,30-34,14445
2016,Depressive,35-39,13752
2016,Depressive,40-44,14097
2016,Depressive,45-49,17016
2016,Depressive,50-54,19399
2016,Depressive,55-59,16475
2016,Depressive,60-64,10376
2016,Depressive,65+,9003
2016,Oppositional Defiant,0-11,7776
2016,Oppositional Defiant,12-14,3687
2016,Oppositional Defiant,15-17,3544
2016,Oppositional Defiant,18-20,576
2016,Oppositional Defiant,21-24,118
2016,Oppositional Defiant,25-29,46
2016,Oppositional Defiant,30-34,21
2016,Oppositional Defiant,35-39,12
2016,Oppositional Defiant,40-44,11
2016,Oppositional Defiant,45-49,3
2016,Oppositional Defiant,50-54,3
2016,Oppositional Defiant,55-59,3
2016,Oppositional Defiant,60-64,3
2016,Oppositional Defiant,65+,1
