YEAR,MH1,AGE,COUNT
2016,Trauma/stress-related,0-11,40727
2016,Trauma/stress-related,12-14,17570
2016,Trauma/stress-related,15-17,16359
2016,Trauma/stress-related,18-20,6987
2016,Trauma/stress-related,21-24,8104
2016,Trauma/stress-related,25-29,12058
2016,Trauma/stress-related,30-34,11858
2016,Trauma/stress-related,35-39,10493
2016,Trauma/stress-related,40-44,8409
2016,Trauma/stress-related,45-49,8531
2016,Trauma/stress-related,50-54,7950
2016,Trauma/stress-related,55-59,5511
2016,Trauma/stress-related,60-64,2908
2016,Trauma/stress-related,65+,2187
2016,Anxiety,0-11,13566
2016,Anxiety,12-14,8622
2016,Anxiety,15-17,10846
2016,Anxiety,18-20,7164
2016,Anxiety,21-24,9253
2016,Anxiety,25-29,14183
2016,Anxiety,30-34,13505
2016,Anxiety,35-39,11508
2016,Anxiety,40-44,9442
2016,Anxiety,45-49,8934
2016,Anxiety,50-54,9017
2016,Anxiety,55-59,7258
2016,Anxiety,60-64,4471
2016,Anxiety,65+,4095
2016,ADHD,0-11,75341
2016,ADHD,12-14,30995
2016,ADHD,15-17,20484
2016,ADHD,18-20,6017
2016,ADHD,21-24,2849
2016,ADHD,25-29,2809
2016,ADHD,30-34,2016
2016,ADHD,35-39,1266
2016,ADHD,40-44,883
2016,ADHD,45-49,658
2016,ADHD,50-54,520
2016,ADHD,55-59,374
2016,ADHD,60-64,192
2016,ADHD,65+,103
2016,Conduct,0-11,14647
2016,Conduct,12-14,4717
2016,Conduct,15-17,5613
2016,Conduct,18-20,1286
2016,Conduct,21-24,528
2016,Conduct,25-29,373
2016,Conduct,30-34,256
2016,Conduct,35-39,200
2016,Conduct,40-44,140
2016,Conduct,45-49,131
2016,Conduct,50-54,123
2016,Conduct,55-59,82
2016,Conduct,60-64,52
2016,Conduct,65+,47
2016,Delirium/dementia,0-11,45
2016,Delirium/dementia,12-14,18
2016,Delirium/dementia,15-17,29
2016,Delirium/dementia,18-20,40
2016,Delirium/dementia,21-24,68
2016,Delirium/dementia,25-29,105
2016,Delirium/dementia,30-34,102
2016,Delirium/dementia,35-39,120
2016,Delirium/dementia,40-44,135
2016,Delirium/dementia,45-49,168
2016,Delirium/dementia,50-54,293
2016,Delirium/dementia,55-59,387
2016,Delirium/dementia,60-64,451
2016,Delirium/dementia,65+,1932
2016,Bipolar,0-11,3367
2016,Bipolar,12-14,4480
2016,Bipolar,15-17,8259
2016,Bipolar,18-20,9995
2016,Bipolar,21-24,17570
2016,Bipolar,25-29,28495
2016,Bipolar,30-34,29461
2016,Bipolar,35-39,28386
2016,Bipolar,40-44,25881
2016,Bipolar,45-49,26845
2016,Bipolar,50-54,26781
2016,Bipolar,55-59,19870
2016,Bipolar,60-64,11192
2016,Bipolar,65+,7686
2016,Depressive,0-11,6281
2016,Depressive,12-14,15761
2016,Depressive,15-17,27719
2016,Depressive,18-20,20494
