YEAR,MH1,AGE,COUNT
2016,Trauma/stress-related,0-11,68976
2016,Trauma/stress-related,12-14,24482
2016,Trauma/stress-related,15-17,21740
2016,Trauma/stress-related,18-20,8980
2016,Trauma/stress-related,21-24,9637
2016,Trauma/stress-related,25-29,14847
2016,Trauma/stress-related,30-34,14827
2016,Trauma/stress-related,35-39,13355
2016,Trauma/stress-related,40-44,10731
2016,Trauma/stress-related,45-49,10093
2016,Trauma/stress-related,50-54,9501
2016,Trauma/stress-related,55-59,7568
2016,Trauma/stress-related,60-64,4502
2016,Trauma/stress-related,65+,3344
2016,Anxiety,0-11,29270
2016,Anxiety,12-14,13045
2016,Anxiety,15-17,14554
2016,Anxiety,18-20,7592
2016,Anxiety,21-24,8974
2016,Anxiety,25-29,13564
2016,Anxiety,30-34,12795
2016,Anxiety,35-39,10496
2016,Anxiety,40-44,8285
2016,Anxiety,45-49,7575
2016,Anxiety,50-54,7315
2016,Anxiety,55-59,6159
2016,Anxiety,60-64,4088
2016,Anxiety,65+,3432
2016,ADHD,0-11,36796
2016,ADHD,12-14,13483
2016,ADHD,15-17,7900
2016,ADHD,18-20,2578
2016,ADHD,21-24,1442
2016,ADHD,25-29,1868
2016,ADHD,30-34,1550
2016,ADHD,35-39,1099
2016,ADHD,40-44,734
2016,ADHD,45-49,616
2016,ADHD,50-54,449
2016,ADHD,55-59,348
2016,ADHD,60-64,197
2016,ADHD,65+,227
2016,Conduct,0-11,18418
2016,Conduct,12-14,4711
2016,Conduct,15-17,4906
2016,Conduct,18-20,1112
2016,Conduct,21-24,192
2016,Conduct,25-29,149
2016,Conduct,30-34,103
2016,Conduct,35-39,64
2016,Conduct,40-44,80
2016,Conduct,45-49,43
2016,Conduct,50-54,51
2016,Conduct,55-59,35
2016,Conduct,60-64,24
2016,Conduct,65+,28
2016,Delirium/dementia,0-11,109
2016,Delirium/dementia,12-14,67
2016,Delirium/dementia,15-17,85
2016,Delirium/dementia,18-20,58
2016,Delirium/dementia,21-24,90
2016,Delirium/dementia,25-29,155
2016,Delirium/dementia,30-34,133
2016,Delirium/dementia,35-39,126
2016,Delirium/dementia,40-44,170
2016,Delirium/dementia,45-49,204
2016,Delirium/dementia,50-54,310
2016,Delirium/dementia,55-59,362
2016,Delirium/dementia,60-64,480
2016,Delirium/dementia,65+,2005
2016,Bipolar,0-11,6521
2016,Bipolar,12-14,7222
2016,Bipolar,15-17,11617
2016,Bipolar,18-20,9173
2016,Bipolar,21-24,11878
2016,Bipolar,25-29,17958
2016,Bipolar,30-34,18568
2016,Bipolar,35-39,17153
2016,Bipolar,40-44,15818
2016,Bipolar,45-49,17044
2016,Bipolar,50-54,17242
2016,Bipolar,55-59,13600
2016,Bipolar,60-64,8588
2016,Bipolar,65+,6504
2016,Depressive,0-11,13341
2016,Depressive,12-14,25350
2016,Depressive,15-17,36494
