YEAR,MH1,GENDER,COUNT
2016,Trauma/stress-related,Male,66334
2016,Trauma/stress-related,Female,97215
2016,Anxiety,Male,49647
2016,Anxiety,Female,77321
2016,ADHD,Male,71546
2016,ADHD,Female,33037
2016,Conduct,Male,18995
2016,Conduct,Female,8586
2016,Delirium/dementia,Male,1746
2016,Delirium/dementia,Female,1575
2016,Bipolar,Male,50764
2016,Bipolar,Female,75821
2016,Depressive,Male,99566
2016,Depressive,Female,183582
2016,Oppositional Defiant,Male,17878
2016,Oppositional Defiant,Female,9699
2016,Pervasive Developmental,Male,10317
2016,Pervasive Developmental,Female,2543
2016,Personality,Male,4188
2016,Personality,Female,6260
2016,Schizophrenia/Other Psychotic,Male,60678
2016,Schizophrenia/Other Psychotic,Female,38144
2016,Alcohol/Substance Abuse,Male,16152
2016,Alcohol/Substance Abuse,Female,12201
2016,Other,Male,35767
2016,Other,Female,32950
2017,Trauma/stress-related,Male,77726
2017,Trauma/stress-related,Female,109752
2017,Anxiety,Male,67169
2017,Anxiety,Female,104178
2017,ADHD,Male,81964
2017,ADHD,Female,37128
2017,Conduct,Male,18777
2017,Conduct,Female,7772
2017,Delirium/dementia,Male,1003
2017,Delirium/dementia,Female,817
2017,Bipolar,Male,55825
2017,Bipolar,Female,86024
2017,Depressive,Male,113488
2017,Depressive,Female,199841
2017,Oppositional Defiant,Male,21895
2017,Oppositional Defiant,Female,11103
2017,Pervasive Developmental,Male,14061
2017,Pervasive Developmental,Female,3531
2017,Personality,Male,6146
2017,Personality,Female,9259
2017,Schizophrenia/Other Psychotic,Male,84548
2017,Schizophrenia/Other Psychotic,Female,51690
2017,Alcohol/Substance Abuse,Male,2407
2017,Alcohol/Substance Abuse,Female,1357
2017,Other,Male,56495
2017,Other,Female,54625
2018,Trauma/stress-related,Male,94807
2018,Trauma/stress-related,Female,129450
2018,Anxiety,Male,79718
2018,Anxiety,Female,128836
2018,ADHD,Male,95457
2018,ADHD,Female,41742
2018,Conduct,Male,18430
2018,Conduct,Female,7277
2018,Delirium/dementia,Male,1656
2018,Delirium/dementia,Female,1266
2018,Bipolar,Male,60065
2018,Bipolar,Female,93519
2018,Depressive,Male,135977
2018,Depressive,Female,238228
2018,Oppositional Defiant,Male,23545
2018,Oppositional Defiant,Female,11537
2018,Pervasive Developmental,Male,18784
2018,Pervasive Developmental,Female,4684
2018,Personality,Male,7431
2018,Personality,Female,10445
2018,Schizophrenia/Other Psychotic,Male,93301
2018,Schizophrenia/Other Psychotic,Female,57078
2018,Alcohol/Substance Abuse,Male,2266
2018,Alcohol/Substance Abuse,Female,1306
2018,Other,Male,68328
2018,Other,Female,65907
2019,Trauma/stress-related,Male,112406
2019,Trauma/stress-related,Female,152154
2019,Anxiety,Male,99246
2019,Anxiety,Female,164138
2019,ADHD,Male,103060
2019,ADHD,Female,45226
2019,Conduct,Male,19962
2019,Conduct,Female,7801
2019,Delirium/dementia,Male,1449
2019,Delirium/dementia,Female,1376
2019,Bipolar,Male,60786
2019,Bipolar,Female,94082
2019,Depressive,Male,143859
2019,Depressive,Female,246439
2019,Oppositional Defiant,Male,25901
2019,Oppositional Defiant,Female,12802
2019,Pervasive Developmental,Male,17313
2019,Pervasive Developmental,Female,4526
2019,Personality,Male,8647
2019,Personality,Female,13107
2019,Schizophrenia/Other Psychotic,Male,94697
2019,Schizophrenia/Other Psychotic,Female,57508
2019,Alcohol/Substance Abuse,Male,2791
2019,Alcohol/Substance Abuse,Female,1933
2019,Other,Male,72776
2019,Other,Female,69376
2020,Trauma/stress-related,Male,98642
2020,Trauma/stress-related,Female,136427
2020,Anxiety,Male,93131
2020,Anxiety,Female,145855
2020,ADHD,Male,84389
2020,ADHD,Female,36782
2020,Conduct,Male,18103
2020,Conduct,Female,7036
2020,Delirium/dementia,Male,1297
2020,Delirium/dementia,Female,1330
2020,Bipolar,Male,57230
2020,Bipolar,Female,88617
2020,Depressive,Male,134216
2020,Depressive,Female,222982
2020,Oppositional Defiant,Male,21651
2020,Oppositional Defiant,Female,10599
2020,Pervasive Developmental,Male,16853
2020,Pervasive Developmental,Female,4514
2020,Personality,Male,9196
2020,Personality,Female,13739
2020,Schizophrenia/Other Psychotic,Male,90999
2020,Schizophrenia/Other Psychotic,Female,54812
2020,Alcohol/Substance Abuse,Male,3412
2020,Alcohol/Substance Abuse,Female,1939
2020,Other,Male,63982
2020,Other,Female,57322
