YEAR,MH1,GENDER,COUNT
2016,Trauma/stress-related,Male,40100
2016,Trauma/stress-related,Female,48583
2016,Anxiety,Male,23114
2016,Anxiety,Female,32205
2016,ADHD,Male,49539
2016,ADHD,Female,21279
2016,Conduct,Male,10289
2016,Conduct,Female,4115
2016,Delirium/dementia,Male,1883
2016,Delirium/dementia,Female,2000
2016,Bipolar,Male,41259
2016,Bipolar,Female,58416
2016,Depressive,Male,60432
2016,Depressive,Female,105885
2016,Oppositional Defiant,Male,10316
2016,Oppositional Defiant,Female,5488
2016,Pervasive Developmental,Male,24332
2016,Pervasive Developmental,Female,5851
2016,Personality,Male,4659
2016,Personality,Female,2176
2016,Schizophrenia/Other Psychotic,Male,47225
2016,Schizophrenia/Other Psychotic,Female,29210
2016,Alcohol/Substance Abuse,Male,1336
2016,Alcohol/Substance Abuse,Female,609
2016,Other,Male,12216
2016,Other,Female,8362
2017,Trauma/stress-related,Male,66223
2017,Trauma/stress-related,Female,88004
2017,Anxiety,Male,35343
2017,Anxiety,Female,55703
2017,ADHD,Male,65430
2017,ADHD,Female,26816
2017,Conduct,Male,13549
2017,Conduct,Female,5341
2017,Delirium/dementia,Male,3072
2017,Delirium/dementia,Female,3650
2017,Bipolar,Male,50305
2017,Bipolar,Female,73607
2017,Depressive,Male,91094
2017,Depressive,Female,164088
2017,Oppositional Defiant,Male,15015
2017,Oppositional Defiant,Female,8190
2017,Pervasive Developmental,Male,22066
2017,Pervasive Developmental,Female,5327
2017,Personality,Male,6286
2017,Personality,Female,3419
2017,Schizophrenia/Other Psychotic,Male,72109
2017,Schizophrenia/Other Psychotic,Female,47314
2017,Alcohol/Substance Abuse,Male,16333
2017,Alcohol/Substance Abuse,Female,8169
2017,Other,Male,39607
2017,Other,Female,34507
2018,Trauma/stress-related,Male,69750
2018,Trauma/stress-related,Female,89145
2018,Anxiety,Male,37031
2018,Anxiety,Female,58732
2018,ADHD,Male,65418
2018,ADHD,Female,25952
2018,Conduct,Male,12792
2018,Conduct,Female,5063
2018,Delirium/dementia,Male,2881
2018,Delirium/dementia,Female,3561
2018,Bipolar,Male,41116
2018,Bipolar,Female,61962
2018,Depressive,Male,87302
2018,Depressive,Female,155419
2018,Oppositional Defiant,Male,15091
2018,Oppositional Defiant,Female,8009
2018,Pervasive Developmental,Male,16192
2018,Pervasive Developmental,Female,3800
2018,Personality,Male,6438
2018,Personality,Female,3555
2018,Schizophrenia/Other Psychotic,Male,69734
2018,Schizophrenia/Other Psychotic,Female,45895
2018,Alcohol/Substance Abuse,Male,18758
2018,Alcohol/Substance Abuse,Female,9443
2018,Other,Male,47387
2018,Other,Female,44576
2019,Trauma/stress-related,Male,71167
2019,Trauma/stress-related,Female,90262
2019,Anxiety,Male,37843
2019,Anxiety,Female,61375
2019,ADHD,Male,61467
2019,ADHD,Female,24778
2019,Conduct,Male,11651
2019,Conduct,Female,4474
2019,Delirium/dementia,Male,2646
2019,Delirium/dementia,Female,3211
2019,Bipolar,Male,40056
2019,Bipolar,Female,61447
2019,Depressive,Male,86569
2019,Depressive,Female,154210
2019,Oppositional Defiant,Male,14211
2019,Oppositional Defiant,Female,7551
2019,Pervasive Developmental,Male,13436
2019,Pervasive Developmental,Female,3241
2019,Personality,Male,6323
2019,Personality,Female,3519
2019,Schizophrenia/Other Psychotic,Male,69166
2019,Schizophrenia/Other Psychotic,Female,45060
2019,Alcohol/Substance Abuse,Male,17921
2019,Alcohol/Substance Abuse,Female,8593
2019,Other,Male,48019
2019,Other,Female,44591
2020,Trauma/stress-related,Male,72587
2020,Trauma/stress-related,Female,92389
2020,Anxiety,Male,39687
2020,Anxiety,Female,66399
2020,ADHD,Male,62312
2020,ADHD,Female,25043
2020,Conduct,Male,10971
2020,Conduct,Female,4122
2020,Delirium/dementia,Male,2500
2020,Delirium/dementia,Female,2971
2020,Bipolar,Male,39380
2020,Bipolar,Female,61224
2020,Depressive,Male,85181
2020,Depressive,Female,154172
2020,Oppositional Defiant,Male,13203
2020,Oppositional Defiant,Female,6880
2020,Pervasive Developmental,Male,10443
2020,Pervasive Developmental,Female,2543
2020,Personality,Male,6150
2020,Personality,Female,3818
2020,Schizophrenia/Other Psychotic,Male,68344
2020,Schizophrenia/Other Psychotic,Female,44046
2020,Alcohol/Substance Abuse,Male,15600
2020,Alcohol/Substance Abuse,Female,7293
2020,Other,Male,46998
2020,Other,Female,43176
