YEAR,MH1,GENDER,COUNT
2016,Trauma/stress-related,Male,93348
2016,Trauma/stress-related,Female,129286
2016,Anxiety,Male,62441
2016,Anxiety,Female,84877
2016,ADHD,Male,50876
2016,ADHD,Female,18409
2016,Conduct,Male,21769
2016,Conduct,Female,8130
2016,Delirium/dementia,Male,2292
2016,Delirium/dementia,Female,2062
2016,Bipolar,Male,78772
2016,Bipolar,Female,100187
2016,Depressive,Male,113954
2016,Depressive,Female,201882
2016,Oppositional Defiant,Male,15716
2016,Oppositional Defiant,Female,6540
2016,Pervasive Developmental,Male,13067
2016,Pervasive Developmental,Female,3158
2016,Personality,Male,4216
2016,Personality,Female,6435
2016,Schizophrenia/Other Psychotic,Male,119311
2016,Schizophrenia/Other Psychotic,Female,64511
2016,Alcohol/Substance Abuse,Male,44619
2016,Alcohol/Substance Abuse,Female,22893
2016,Other,Male,65222
2016,Other,Female,48335
2017,Trauma/stress-related,Male,96886
2017,Trauma/stress-related,Female,130254
2017,Anxiety,Male,69783
2017,Anxiety,Female,98854
2017,ADHD,Male,53912
2017,ADHD,Female,18530
2017,Conduct,Male,15777
2017,Conduct,Female,5827
2017,Delirium/dementia,Male,2006
2017,Delirium/dementia,Female,1789
2017,Bipolar,Male,50094
2017,Bipolar,Female,75097
2017,Depressive,Male,115175
2017,Depressive,Female,202684
2017,Oppositional Defiant,Male,13489
2017,Oppositional Defiant,Female,5993
2017,Pervasive Developmental,Male,10631
2017,Pervasive Developmental,Female,2639
2017,Personality,Male,2961
2017,Personality,Female,4235
2017,Schizophrenia/Other Psychotic,Male,119402
2017,Schizophrenia/Other Psychotic,Female,65516
2017,Alcohol/Substance Abuse,Male,59256
2017,Alcohol/Substance Abuse,Female,34392
2017,Other,Male,63211
2017,Other,Female,58421
2018,Trauma/stress-related,Male,101654
2018,Trauma/stress-related,Female,137438
2018,Anxiety,Male,77443
2018,Anxiety,Female,113416
2018,ADHD,Male,63321
2018,ADHD,Female,22044
2018,Conduct,Male,14991
2018,Conduct,Female,5405
2018,Delirium/dementia,Male,1987
2018,Delirium/dementia,Female,1685
2018,Bipolar,Male,51920
2018,Bipolar,Female,79708
2018,Depressive,Male,129548
2018,Depressive,Female,225857
2018,Oppositional Defiant,Male,16149
2018,Oppositional Defiant,Female,6655
2018,Pervasive Developmental,Male,12868
2018,Pervasive Developmental,Female,3141
2018,Personality,Male,2984
2018,Personality,Female,4739
2018,Schizophrenia/Other Psychotic,Male,131937
2018,Schizophrenia/Other Psychotic,Female,73184
2018,Alcohol/Substance Abuse,Male,63173
2018,Alcohol/Substance Abuse,Female,38163
2018,Other,Male,81469
2018,Other,Female,70320
2019,Trauma/stress-related,Male,111300
2019,Trauma/stress-related,Female,149303
2019,Anxiety,Male,78877
2019,Anxiety,Female,121576
2019,ADHD,Male,47005
2019,ADHD,Female,16372
2019,Conduct,Male,13520
2019,Conduct,Female,4603
2019,Delirium/dementia,Male,2386
2019,Delirium/dementia,Female,2401
2019,Bipolar,Male,42638
2019,Bipolar,Female,65389
2019,Depressive,Male,129289
2019,Depressive,Female,221801
2019,Oppositional Defiant,Male,14597
2019,Oppositional Defiant,Female,6116
2019,Pervasive Developmental,Male,7664
2019,Pervasive Developmental,Female,1897
2019,Personality,Male,2512
2019,Personality,Female,4129
2019,Schizophrenia/Other Psychotic,Male,120298
2019,Schizophrenia/Other Psychotic,Female,66307
2019,Alcohol/Substance Abuse,Male,70349
2019,Alcohol/Substance Abuse,Female,45549
2019,Other,Male,83045
2019,Other,Female,71685
2020,Trauma/stress-related,Male,131084
2020,Trauma/stress-related,Female,180434
2020,Anxiety,Male,98139
2020,Anxiety,Female,168043
2020,ADHD,Male,70296
2020,ADHD,Female,28645
2020,Conduct,Male,12852
2020,Conduct,Female,4627
2020,Delirium/dementia,Male,3291
2020,Delirium/dementia,Female,4256
2020,Bipolar,Male,48507
2020,Bipolar,Female,76845
2020,Depressive,Male,143083
2020,Depressive,Female,252240
2020,Oppositional Defiant,Male,14483
2020,Oppositional Defiant,Female,6061
2020,Pervasive Developmental,Male,19179
2020,Pervasive Developmental,Female,5074
2020,Personality,Male,2708
2020,Personality,Female,5203
2020,Schizophrenia/Other Psychotic,Male,122913
2020,Schizophrenia/Other Psychotic,Female,68220
2020,Alcohol/Substance Abuse,Male,93174
2020,Alcohol/Substance Abuse,Female,62600
2020,Other,Male,102507
2020,Other,Female,89288
